delay_us,autocorr_H_db,crosscorr_HV_db
-8.331299e+00,-1.400000e+02,-1.400000e+02
-8.327230e+00,-1.400000e+02,-1.400000e+02
-8.323161e+00,-1.400000e+02,-1.400000e+02
-8.319092e+00,-1.400000e+02,-1.400000e+02
-8.315023e+00,-1.400000e+02,-1.400000e+02
-8.310954e+00,-1.400000e+02,-1.400000e+02
-8.306885e+00,-1.400000e+02,-1.400000e+02
-8.302816e+00,-1.400000e+02,-1.400000e+02
-8.298747e+00,-1.400000e+02,-1.400000e+02
-8.294678e+00,-1.400000e+02,-1.400000e+02
-8.290609e+00,-1.400000e+02,-1.400000e+02
-8.286540e+00,-1.400000e+02,-1.400000e+02
-8.282471e+00,-1.400000e+02,-1.400000e+02
-8.278402e+00,-1.400000e+02,-1.400000e+02
-8.274333e+00,-1.400000e+02,-1.400000e+02
-8.270264e+00,-1.400000e+02,-1.400000e+02
-8.266195e+00,-1.400000e+02,-1.400000e+02
-8.262126e+00,-1.400000e+02,-1.400000e+02
-8.258057e+00,-1.400000e+02,-1.400000e+02
-8.253988e+00,-1.400000e+02,-1.400000e+02
-8.249919e+00,-1.400000e+02,-1.400000e+02
-8.245850e+00,-1.400000e+02,-1.400000e+02
-8.241781e+00,-1.400000e+02,-1.400000e+02
-8.237712e+00,-1.400000e+02,-1.400000e+02
-8.233643e+00,-1.400000e+02,-1.400000e+02
-8.229574e+00,-1.400000e+02,-1.400000e+02
-8.225505e+00,-1.400000e+02,-1.400000e+02
-8.221436e+00,-1.400000e+02,-1.400000e+02
-8.217367e+00,-1.400000e+02,-1.400000e+02
-8.213298e+00,-1.400000e+02,-1.400000e+02
-8.209229e+00,-1.400000e+02,-1.400000e+02
-8.205160e+00,-1.400000e+02,-1.400000e+02
-8.201090e+00,-1.400000e+02,-1.400000e+02
-8.197021e+00,-1.400000e+02,-1.400000e+02
-8.192952e+00,-1.400000e+02,-1.400000e+02
-8.188883e+00,-1.400000e+02,-1.400000e+02
-8.184814e+00,-1.400000e+02,-1.400000e+02
-8.180745e+00,-1.400000e+02,-1.400000e+02
-8.176676e+00,-1.400000e+02,-1.400000e+02
-8.172607e+00,-1.400000e+02,-1.400000e+02
-8.168538e+00,-1.400000e+02,-1.400000e+02
-8.164469e+00,-1.400000e+02,-1.400000e+02
-8.160400e+00,-1.400000e+02,-1.400000e+02
-8.156331e+00,-1.400000e+02,-1.400000e+02
-8.152262e+00,-1.400000e+02,-1.400000e+02
-8.148193e+00,-1.400000e+02,-1.400000e+02
-8.144124e+00,-1.400000e+02,-1.400000e+02
-8.140055e+00,-1.400000e+02,-1.400000e+02
-8.135986e+00,-1.400000e+02,-1.400000e+02
-8.131917e+00,-1.400000e+02,-1.400000e+02
-8.127848e+00,-1.400000e+02,-1.400000e+02
-8.123779e+00,-1.400000e+02,-1.400000e+02
-8.119710e+00,-1.400000e+02,-1.400000e+02
-8.115641e+00,-1.400000e+02,-1.400000e+02
-8.111572e+00,-1.400000e+02,-1.400000e+02
-8.107503e+00,-1.400000e+02,-1.400000e+02
-8.103434e+00,-1.400000e+02,-1.400000e+02
-8.099365e+00,-1.400000e+02,-1.400000e+02
-8.095296e+00,-1.400000e+02,-1.400000e+02
-8.091227e+00,-1.400000e+02,-1.400000e+02
-8.087158e+00,-1.400000e+02,-1.400000e+02
-8.083089e+00,-1.400000e+02,-1.400000e+02
-8.079020e+00,-1.400000e+02,-1.400000e+02
-8.074951e+00,-1.400000e+02,-1.400000e+02
-8.070882e+00,-1.400000e+02,-1.400000e+02
-8.066813e+00,-1.400000e+02,-1.400000e+02
-8.062744e+00,-1.400000e+02,-1.400000e+02
-8.058675e+00,-1.400000e+02,-1.400000e+02
-8.054606e+00,-1.400000e+02,-1.400000e+02
-8.050537e+00,-1.400000e+02,-1.400000e+02
-8.046468e+00,-1.400000e+02,-1.400000e+02
-8.042399e+00,-1.400000e+02,-1.400000e+02
-8.038330e+00,-1.400000e+02,-1.400000e+02
-8.034261e+00,-1.400000e+02,-1.400000e+02
-8.030192e+00,-1.400000e+02,-1.400000e+02
-8.026123e+00,-1.400000e+02,-1.400000e+02
-8.022054e+00,-1.400000e+02,-1.400000e+02
-8.017985e+00,-1.400000e+02,-1.400000e+02
-8.013916e+00,-1.400000e+02,-1.400000e+02
-8.009847e+00,-1.400000e+02,-1.400000e+02
-8.005778e+00,-1.400000e+02,-1.400000e+02
-8.001709e+00,-1.400000e+02,-1.400000e+02
-7.997640e+00,-1.400000e+02,-1.400000e+02
-7.993571e+00,-1.400000e+02,-1.400000e+02
-7.989502e+00,-1.400000e+02,-1.400000e+02
-7.985433e+00,-1.400000e+02,-1.400000e+02
-7.981364e+00,-1.400000e+02,-1.400000e+02
-7.977295e+00,-1.400000e+02,-1.400000e+02
-7.973226e+00,-1.400000e+02,-1.400000e+02
-7.969157e+00,-1.400000e+02,-1.400000e+02
-7.965088e+00,-1.400000e+02,-1.400000e+02
-7.961019e+00,-1.400000e+02,-1.400000e+02
-7.956950e+00,-1.400000e+02,-1.400000e+02
-7.952881e+00,-1.400000e+02,-1.400000e+02
-7.948812e+00,-1.400000e+02,-1.400000e+02
-7.944743e+00,-1.400000e+02,-1.400000e+02
-7.940674e+00,-1.400000e+02,-1.400000e+02
